この際 委員の異動について御報告 いたします , おはようございます
 特別 防衛 監察 につきましては 監察 本部 において 行われております が 私 承知 する 限り で 申し上げれば その 監察 結果 等 におきましても 当時 問題 と されました のは 南スーダン の PKO の その 日報 でございますので ス ー ダ ン につきましては そもそも その 監察 の対象 になっていない ものと承知しております , いや いや 各種 の 派遣 業務 に対して の 日報 をどう する んだという 全体 の話 も 特別 監察 では や られている はず ですよ
私も 今回の この イラク の 日報 の 一連の 経緯 を見て ずっと ない 出てこない ということが 続 いた 中で 四月 の 二日 に これ おかしい んじゃないか と思って 探 す ように 指示 を 出 したら 四月 四日 に 二日 間で 出てきた わけですよ 三月 二十七日 昨年 こういう の がありました と , 本当に 非常に 残念 に 思います
 時間が来ましたので 終わらせていただきます , おはようございます
 中国 側から 既に しっかり 説明 を受けて おりますが その 詳細 については 申し上げられません , どの レベルで どのような 形で じゃ 連絡 を受けた か お伝え ください
 申し訳ございません が 差し控え させていただきます , なぜ 差し控え なければいけない のか お答えください
 内容を 公表 すること について 両国 間で 公表 する という前提で やって おりません , 私は 今 内容を 公表 してくれ とは 一言 も 申し上げて おりません
 いつ どの レベル を含め 詳細 を 申し上げることは できません , 私は 批判 のための 批判 をする つもり はありません
今回の ような アメリカの 貿易 制限 措置 は WTO ルール に基づく 多 角 的 貿易 体制 にも 悪 影響 を 及 ぼ し また 恐らく 鉄 鋼 などの 世界 市場 に 混乱 を及ぼす ことになる んだろうと思います , アメリカ 側が て こ に 利用 しようと している のではないかという 理由 ら し き というか 根拠 ら し き ものを 外務大臣 が 言って いただいた ので もう これ以上 申し上げ ません が ということは 逆に 言うと 日米 関係 は トランプ大統領 と の 日米 関係 は 安倍総理 が 言われている ように 個人的な 関係 それから 日米 は 一〇〇 % 共 にある と 総理が 言われて も その 関係 とは 別の 次 元 で 物 事 が 動 く ということを 認識 して 外交 を やら なければいけない ということで そういう 認識 で やらなきゃいけない ということですよね
 北朝鮮 危機 について 日米 一〇〇 % 共 にある というのは これはもう 双方 の 首脳 が 繰り返し 申し上げて きている ところでございます , 国家 同士 で 国益 が それぞれ 異なる のは 僕は 当然のこと だと思います
 外交 上の 情報が どこで どのように 行われている かというのは 一 々 これを 申し上げる わけ には い き ません ので お答えは差し控え させていただきたいと思います , これ 逆に 言うと 国際社会 から 見れば 北朝鮮 情勢 北 東 アジア の 安全保障環境 の問題 については 日本は プ レー ヤ ー として 今 動いて いない と 見え ている んじゃないですか
 先週 でしたか J C P O A の 交渉 を やった ウ ェ ン ディ ー ・ シャ ー マン と お 目に かかり ました が J C P O A の 交渉 も い まだ 歴史 になっていない から 中身 は 外 には 申し上げ られない というような話 を されておりました , いや 私は 外務大臣 の おっしゃる ことは そのとおりだと思います よ
 刑事 訴 追 の おそれ のある 話 でございますので その 旨 答弁 させていただいております , 福 山 です
大変 恐縮 でございます , 文書 の 改ざん について あなた は 関わって いる か いない か
もう 今 の御質問 も まさに 今の 捜査 が行われている 中 の話 でございまして 誰が どういうふうに 関与 した の かというのは 私 も含めまして 今 捜査 の対象 になっている ということでございます , だから あなた 関わって いない んだったら 関わって いない と 言えば いい じゃないですか
 その点 も含めまして まさに 誰が どういう 経緯 で ということが まさに 捜査 の対象 になっている ということでございます , もう一つ 分からない んですね
 冒頭 申し上げましたが この 案件 は まさに 国有財産 の 売却 という 個別 案件 でございまして そういうもの は 理財局 の中で 対応する ものでございまして この 昨年 の中で 私が 理財局長 を しておりました 間 そういう 官邸 なり 大臣 とか そういうところ からの 指示 がなかった ので 指示 は ありませんでした というふうに お答え 申し上げて おるところでございます , だって 関与 していた かどうか 分からない あなた が ですね 指示 を もらった かどうか なんて あなた だって そんなこと 関係 ない じゃないですか
速記を起こして ください , 今 御 覧 をいただいた 三月 の 二日 の 議事録 で 佐川 さんは 明確に 決裁文書 があること を 認めて おられます
今の その 読ませて いただいた 最初の ところでございますが 決裁文書 三十年 保存 という 文書 管理 規程 がございまして 当然 そういうもの はある だろう というふうには 分かって おりました ので そういうことを まさに 自分 が 見た かどうかということ という コメント とは 関係 なく そういう 決裁文書 はある だろう ということを申し上げた わけでございまして 私自身 が いつ その 決裁文書 を 認識 した かという 点につきましては そ この点については 答弁を 差し控えさせていただきたい というふうに思っております , 全く 理解 できません
その 今委員が その 虚偽 の答弁 とおっしゃいました が それは その 虚偽 の答弁 であった かどうかは 私自身 が その 書き 換 え られた 決裁文書 を どの 時点で いつ どういうふうに して 認識 した か に関わる 話 でございまして それが 本当に 虚偽 の答弁 だった かどうか の 認識 に関わる 話 だろう というふうに思っております ので その点について も 同様 でございまして , 今は 昨日 の 太田 局長 の答弁 と 完全に 異なって いる んですが 虚偽 かどうかは 別に して じゃ この 答弁 書 は 原 課 が 作った ということで 先ほど 言われた の でいい ですね
その 最初の 虚偽 の答弁 云々 の話 は まさに その 決裁文書 の 認識 の話 でございますので お答えは差し控え ます , 非常に 理解 し 難 い 答弁 が たくさん あります
 貸付け も 売却 も 鑑定 士 に 掛け た 下 で 契約 書 を作って いる ということでございます , 勉強 の 成果 と あなた は 言った から 私は そう 申し上げている んです
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
お答えを申し上げます , 太田 局長 あなた ね 国会で 答弁 したこと を 聞か れて 確認 をされて いろいろ 言い 訳 が ま しい ことを 付け 足 す のは やめ た 方がいい
お答えを申し上げます , 僕 ね あなた が そう 言う と思った から ちゃんと 用意 している んですよ
速記を起こして ください , 改ざん 前の 決裁文書 を前提に 答弁 書 を 書いている と 言われている の に なぜ 改ざん 前の 文書 には 一 月九日 訪問 した と 書いてある の に 一 月九日 と 言われ まして も そこの 記録 がある わけではございません と言って 虚偽 の答弁 をした のか 理由 を お答えください と 申し上げています
お答えを申し上げます , 次の を 御紹介 します
お答えを申し上げます , 太田 さん その 説明 分かった よう で 分からない んです
お答えを申し上げます , 全く 答えていない
お答えを申し上げます , だから 太田 さん 私が聞いているのは もう この とき 既に 改ざん 後 を前提に 答弁 を作って いた ということは じゃ お認め いた だけ ます ね
お答えを申し上げます , 太田 理財局長 は この 数 日 間で ず う っと この 当時 去年の 二月 三月 は 改ざん 前 を前提に 答弁 書 を作る と言っている んです
今の 御指摘の点 であります , この 日 二月 二十四日 菅官房長官 は 決裁文書 については 三 十年間 保存 しているわけであります から そこに は ほとんど の部分 というのは 書かれている の じゃない でしょうか 説明 を受けました けど と 言われています
まず 事実関係 ですけど 財務省 理財局 や 近畿財務局 の 決裁文書 について 私は その内容 を 示された こと もなく 説明 も 受けて おりません , 結構 苦しい です
 福 山 哲 郎 君 時間が来ています , 先ほどの答弁 から いって も 財務省 の 内部 調査 は全く 信用 できません
 専 守 防衛 は 可能 かという シ リー ズ 第 一番 は 今日 これで 終わらせていただきます , 立憲民主党 の 福 山 でございます
御指摘の 財務省 における 決裁文書 の 書換え については これは 行政 全体の 信頼 を 揺 る が し かねない 事態 であると考えております , あのとき も 実は 前の 大臣 と の メモ が 途中 で 出てきた り とか 内部 調査 が非常に 曖昧な 状況 で 進 んだ ことによって 不 信 感 が より 高 まった という状況 が 起こ りました
 公文書 というのは 改ざん というのが あってはならない もの だと思います , 全く おっしゃるとおり で 外務省 は 機 密 の問題 があります から 相手国 のこと もありますので より 重要だと思います が 私も 核 の 密 約 の 解明 に 政権 の 内部 で 対応 したときに 本当に 公文書 というのは 大変な ものだ な というのを ま ざ ま ざ と 自分 なり に 感じ ました ので 今回の 財務省 の問題 は非常に 私自身 ショック です
ありがとうございます , そ ご はない と 信じ たい と思っております が この 南 北 首脳会談 を経て 米 朝 の 首脳会談 がある という 発表 について 言えば 本当に どの程度 の コミュニケーション が 事前に あった のか 事前 通告 あった のか も含めて これは 皮 肉 ではなくて 少し 懸念 をしています
 米 朝 については い まだ 北朝鮮 が 何 にも ア ナ ウン ス を していない ということについて 日米 で 懸念 を 共有 していると 申し上げて も よろしい と思います , ロシア と の 会談 も よろしくお願いします
 ノー タ ム の内容 の お尋ね でございます , これまで ノー タ ム が 出された こと というのは あるんですか
お答え申し上げます , じゃ 日本側 から こういった 飛行 制限 みたいな ノー タ ム を出して くれ と 要請 をした ことは あるんですか
 学校の 上 空 を 避け る ための ノー タ ム 普天間 第二 小学校 を含む 学校の 上 空 等を 回避 するための ノー タ ム の 発出 を求め た ということは これまで 私ども 具体的に いた した ことはございません , 今回の ノー タ ム が 一定の 例えば 上 空 を 飛行 すること の 制限 につながる んだと したら こういった ノー タ ム を出す ように 今後 アメリカ に 要請 をするということ が 非常に重要な 要素 だという 点 が 一点
まず ノー タ ム の 発出 であります , 終わります
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
お答えを申し上げます , じゃ お伺いします
それは 基本的に 捜査 の 先方 がどう された か ということなので それを お答え するのは 良く ない んだろう というふうに思っております , 刑事局長 刑事局長 は 地 検 の立場 として こういったこと に対して 何らかの 制限 を 加え ること に対して 法的な 根拠 や 制限 を 加え る 権限 は 刑事局長 あります か
ただいまの お尋ね でございますけれども ちょっと 御趣旨 を 測 り かね る ところ もございます けど 捜査機関 が 具体的に どのような 活動 を行った か という点 でございます れば その点は お答えを 差し控え たいと存じます , そう なんですよ
今 ほど の御質問 は 要 すれば 捜査 支障 を という話 につながる というふうに 私どもとして 考えて いますので 全面 的に 協力 する立場 として この件 は お答えを い たしか ね る というふうに考えてございます , 刑事局長 今の ことは 地 検 の 捜査 に 関係 する んですか
先ほど お答え 申し上げたとおり でございまして 捜査 の 支障 の有無 を含めまして 国会 からの お 求め に対して どのような 御説明を な さ る かというのは 各 行政機関 で 御判断 いただくこと では ございますけれども 捜査機関 の立場 で 申し上げました ら ただいま の お尋ね は 具体的な 事件 に関する 捜査機関 の 具体的な 活動 内容 に関する こと でございますので 法務省 の立場 としては お答えを 差し控え させていただきます , 財務省 ここは 国会の 場 ですから ね 国政調査 権 のある
お答えを申し上げます , じゃ 国会議員 の ヒアリング の場で 任意 だと 答え ている ものを 国会で 答えられない 理由 は何 ですか
お答えを申し上げます , じゃ もう イ エ ス か ノー で 答えてください
 それも 基本的に 捜査 の 支障 に関わる こと だと思っております ので お答え は い たしか ね る と思っております , 刑事局長 もう イ エ ス か ノー か で 答えてください 時間 ない から
 一般論として 申し上げますと 押 収 を した場合には その 所有者 所 持 者 保管 者 又は これらの 者 に 代 わ るべき 者 に 押 収 品目 録 を 交付 することと されているところでございます , これ 押 収 品目 録 の 紙 なんですね 全部 細かく 出る んです 本当は
お答えを申し上げます , もう一回 聞く
お答えを申し上げます , 何 言っている のか さ っ ぱ り 分かりません
 後刻理事会で協議 をさせていただきます , 全く も って 反省 の かけ ら もない
お答えを申し上げます , ということは あの 改ざん 前の いろんな ことが 書いてある 文書 を 理財局 は 共有 して 答弁 書 を作って いました
私は 承知しておりません でした , ごめんなさい 官房長官 二月 の 二十四日 昨年 ですが 基本的には 決裁文書 については 三 十年間 保存 しているわけであります から そこに は ほとんど の部分 というのは 書かれている んじゃない でしょうか と 官房長官 が 会見 で 言われている んです
 知りません でした , 知って います って
 決裁文書 を 前提として 担当 補佐 なり 係 長 は 答弁 書 を作る という 作業 は している と思います , この ときは 安倍 昭 恵 総理大臣 夫 人が 関わって いた り 実は 籠 池 さんが テレビ に 出る かどうか インタビュー を受ける かと 大 騒 ぎ になって いた とき です
 国会で 御 論議 があって その後 特定 をしていただいて マ ス キ ング 等の 作業 をして ということでございます , マ ス キ ング 見 ました
 財務省 が 三月 十二日 に 公表 しました 決裁文書 についての 調査の結果 において 書換え が行われて いた 決裁文書 十四 文書 のうち 会計検査院 が 国土交通省 から 提出 を受けた 書換え 前の 文書 は 貸付 決議 書 二 文書 でございますが 会計検査院 は 財務省 及び 国土交通省 から 昨年の 四月 下 旬 に それぞれ 提出 を受けて おります , それは 改ざん 前 ですか 改ざん 後の 文書 ですか どちら ですか
お答えいたします , 四月 の下 旬 に 会計検査院 に 書換え 後の いわゆる 改ざん 物 を 提出 しているんです 財務省 は
お答えを申し上げます , それは おかしい
まだ 指名 していません から 福 山 さん , 何 言っている んだ か さ っ ぱ り 分かりません
お答えを申し上げます , 今 実質的に は 認められた と思います
お答えを申し上げます , これは 籠 池 さんは 証人 喚 問 で お話し されています ので 理事会で 当然 佐川 理財局長 の 証人 喚 問 を求め たいと思います
ただいまの件につきましては 後刻理事会で協議 をさせていただきます , 続いて 申し上げます
 福 山 君 時間が来ておりますので 質問を まとめてください , 会計検査院 に 改ざん 物 を 出した ということ 自身が 問題だ と思いますし 私としては ここに 関わって いる 迫 田 前 理財局長 それから もう一つ だけ 申し上げます 改ざん 物 で 徹底 的に 削除 されている のは ごみ の 処理 に 関 わ った と 言われている 前の 籠 池 さんの ところ の 弁護士 です 代理 人 です
 次の質問 者の 時間 があります から , この ことも 全く 改ざん のところ からは 削除 されています
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 です
その お尋ね も含めて 先般 お答え 申し上げましたけれども それは 今 捜査 に 全面 的に 協力 している 段階 であって お答えを することが 捜査 に どのような 影響を与える か 予 見 し 難 い ため 答弁は 差し控えさせていただきたい と 申し上げた 上で その上で 捜査 に対する 影響 に 配慮 しつつ 委員から の御指摘 も含め 国政調査 権 ということを 重 々 踏まえて 調査を 進めていきたい と考えております , いつ の間に か 調査 の 方針 になりまして 調査 をする 方針 に 変わって いる んですね
 二つ あるのか 一つ あるのか という 種類 の お尋ね は 先週 金曜日 から たくさん いただいております , 捜査 は何 に関して の 捜査 を どういう形で 告発 を受けている のか 御紹介 ください
お答えを申し上げます , そのときに 令 状 による 強制 的な 捜 索 関連 文書 の 差 押 え が もう既に 行われている のか 若しくは 任意 提出 という形で 関連 文書 について 提出 を しているのか 若しくは まだ そういった 文書 等の 押 収 等 については 進んで いない のか 事実関係 だけ 教えてください
お答えを申し上げます , 令 状 による 捜 索 の 差 押 え が行われた かどうか 事実関係 だけ 教えてください
お答えを申し上げます , 失礼 しました
お答えを申し上げます , よく分からない んですよ
お答えを申し上げます , だから あ した 答える んだったら 今 どのような 形で 考えている のか だけ 教えてください と ここは 大事な 予算委員会 の場 だから
お答えを申し上げます , 捜査 を受けている の に 誰 と 調整 する んですか
私は 理財局長 でございますが それは 省 内 であって いろんな 意味で お話を して ということ もございます , 僕は 太田 さんは 気 の 毒 だと思いますよ
今 ほど 委員が御指摘 をいただいた 文書 の そのときの タイミング において ある意味 で の 折 衝 が なかなか うまく い っていない 状況 の下で 担当 して おった 統括 国有財産 管理 官 の方は なかなか 状況 が 厳しい 中で どうするか と 思い 悩 んで いた ということは この法律 相談 文書 からも 察 することができる というふうに 存じております , そう なんですよ
お答えいたします , ありがとうございます
御指摘の 準備 書面 の御指摘 の部分 につきましては 現在 に至るまで 武力攻撃 事態 が 発生した ことは なく 防衛 出動 命令 が 発 令 されたこと がない ことは もとより その 前提 となる 手続 が行われた ことも ない また 現時点で 存立危機事態 も 発生 して お らず また 現時点 における 国際 情勢 に鑑み て も 本件 訴訟 が 係 属 する 当面 下 において 将来的に 上 記 事態 が 発生 することを 具体的に 想定 し得る 状況 には ないと 記載 されております , そう なんですよね
御指摘の 部分 につきましては 二十 二 行 目 から でございます ね , これが 国の 主張 です
御指摘の 部分 につきましては 本件 は そもそも 現時点で 武力攻撃 事態 又は 存立危機事態 に 陥 って お らず かつ 陥 ること も 具体的に 想定 し 難 く ゆ え に 現時点 において 防衛 出動 命令 の 発 令 が されること についての 具体的 蓋 然 性 も 認められ ず 現時点で いつ 何 ど き いかなる 状況 下 において 現に 発 令 される 蓋 然 性 があるのか す ら 不 確定 な 状況 であること は 前 述 のとおり であり それ ゆ え そもそも あ ま ね く 自衛官 に対して 防衛 出動 命令 に係る 職務 命令 が 発動 される 具体的な おそれがある ことは お ろ か 控 訴 人 に対して かかる 職務 命令 が 具体的に 発動 されること す ら 具体的に 想定 され 得 ない の であると 記載 されております , 国民の皆さん 今の 主張 は 国の 主張 です
ただいまの 御質問 でございますけれども いつ どのような 形で 認識 した か否か ということ につきましては 個々の 訴訟 に関する こと ということでございますので 詳細 について お答えを 差し控え させていただきます , この 訴訟 がある の を 認識 した の について 訴訟 の内容 に 関係 する から 答えられない んですか
 国は 訴訟 の 一方 当事者 の 立場に ありますので そもそも 訴訟 外 の 言動 等 によりまして 訴訟 に対する 司法 審査 に 影響を及ぼす べき ではない と考えております , 上 川 大臣 あなた は この 訴訟 の 存在 自体は 知って いました か
 代表 者 として 法務大臣 でございます , 上 川 大臣 この 訴訟 の 国 側の 指定 代理 人の 省庁 は どこ ですか
 法務省 でございます , 違う んです
 福 山 君 時間が来ておりますので , は い 短く します
次に 福 山 哲 郎 君の質疑 を行います , 立憲民主党 の 福 山 でございます
今回の 裁量労働制 の議論 に関連して 厚生労働省 の データ に対して 国民の皆様 に 疑念 を 生 じ させること となりました , データ の 不 備 国民の 疑念 が 理由 だということ です
 一つは 長時間労働 の 是正 について の議論 でありました ので これは やっぱり 長時間労働 という この 実態 認識 そこに は 変わり が ございませんので 特に 今 上限 のない 特別 条項 があれば それ 上限 がない わけでありますから それは 上限 を 付ける べきだ と こういった 認識 には 変わり がない ということを 申し上げました , もう よく 言われています が この 労政審 の 出 発 点は この データ でした
まず 一つ 労政審 で の議論 でありますけれども 委員が 配 られている 資料 の中にも ございますけれども 平成二十五年 から これは 産業競争力会議 で 裁量労働制 を始め とした 労働時間 の 法制 について 議論を しろ ということで 委員御指摘の あった 労働時間 等 総合 実態調査 など を示して 議論 をいただきました が その後 において 改めて また 裁量労働制 の拡大 そして 高度プロフェッショナル制度 の導入 に関して これは 翌 年 ですけれども 平成二十六年 六月 の 日本再興戦略 改 訂 二〇 一 四 で この 二点 について 具体的に 労働政策審議会 で 検討 しろ ということでございまして 同 年 七月 から 議論が 開始 をされました , 今の御答弁 だと 厚労大臣 は 高 プロ の議論 の 際には 働き方 の 実際の データ は 要 らない と おっしゃっている わけですね
 要 る 要 らない というか 事実関係 を 申し上げた ところでございまして そこで の議論 においては そうした データ を 我々 の方から 提供 して 議論を されている という 経緯 には なっていない ということでございます , だから 新しく データ を取って 調査を するに当たって 高 プロ に関しては 要 らない という 判断を 今のところ している ということですね
今 実態 把握 については 裁量労働制 について の実態 把握 を 改めて し 直 して そして 裁量労働制 については その 実態 把握 を基に 議論を し 直 していく ということでございまして 委員御指摘のように 高度プロフェッショナル制度 については これまでの 労政審 の 建議 また 答申 をいただいております ので それ に沿って 法案の 作業 を 進めていきたい と こう 考えております , だから 要 らない と言っている んですよね
 裁量労働制 度 というのは もう 委員 御承知のように 現行制度 がございます , いや 高 プロ は スーパー 裁量労働制 と 言われています
 同じ こと になって 恐縮 なん でありますけれども 現在の 高度プロフェッショナル制度 というのは 制度 そのものが 存在 を していない わけでありますから その 実態 を把握する といっても それは 難しい わけでございまして そうした 難しい こと を前提に 必要性 のある とか ないと かというのは 答弁 はできない と思います , 高 プロ が 導入 された ら この 人たち こういう 働き方 を 今 している 人たちが 高 プロ に 移行 する だろう と思われる 方々 は いらっしゃる はず です
 対象 として 一つ 想定される のは 年収 一応 千 七十 五 万 ということで 想定 をしております から 全 雇用 者の 約三 % , 必要 ないという 判断 だと 受け止め ました
 裁量労働制 と 一般 労働 制 一般 労働者 について 本来 比較 を すべき でない データ について お示し をし 答弁 をいたしました , 一点だけ 確認 させてください
今のお話 は 裁量 制 に関する やり 直 し ということでございます , 統計 実態調査 の やり方 方法 についても 透明性 を持って 決めて いただけますか
その 透明性 という意味 は いろんな 意味 がある かもしれませんけれども 我々 だけ が 決める ということではなくて よく いろんな 方の 議論を いただきながら 決めて いきたい と こういうふうに 思います , 総理 実は 去年の 三月 二日 私は 森友 問題 で あの そ ん たく 質問を しました
これは それぞれ 性格 を 異 にする ものでございまして 一つ一つ お答え する ことはできない まとめて お答え する ことはできない の でございますが いずれにいたしましても 国民の 信頼 を得る ために これからも 誠実に 対応 していきたいと思います , じゃ 誠実に 対応 して いただき ましょう
お答えを申し上げます , 中身 を 聞いている わけ じゃありません
 文書 のある なし という お尋ね でございますが それ も含めて 今 大阪 地 検 において 告発 を受けて 捜査 をされている ということ を踏まえて 御答弁を 申し上げました , 済みません 太田 局長 別の ものがある ということを あなた は 知らない のか 知って いて 答え ないのか どちら か お答えください
お答えを申し上げます , 違います よ
 恐縮 でございます , それは さっき も 答え ている から 分かっている んです
私が 存じ上げて いる か 存じ上げて いない かということは それは そのまま その 文書 が もう一つ ある の かどうかという お尋ね に つながり それは 結局 朝 日 新聞 の 報道 についてのお尋ね ということになる と思っております , じゃ そんな あなた の 予想 している 更 問い は 僕は しないと 約束 します
 恐縮でございますが 私 なり に 誠 心 誠 意 全ての ことを お答え 申し上げている つもり でございまして 更 問い のある なし にかかわらず 答弁は 変わらない というふうに 存じております , 太田 さん 見 極めて 影響 を見 極めて 調査 をしたい
 捜査 の 最終的な 影響 を 十分 見 極めて お答えを 申し上げます , 最終的な 影響 を見 極めて って 微 妙 な 表現 で 終 わ る まで とも 言って いない し 最終的な 影響 は 見 極 め られる のは 別に ひ ょ っと したら 今 でも できる んです
私ども 捜査 をしている 側 ではございません ので そういう意味で 受け ている 側 として ということになります けれども いずれにせよ 最終的な 影響 を 十分 見 極めて ということでございますので 今の 時点で 何か の基準 をもって いつまで だということを 申し上げることは 私の 能力 では い たしか ね ます , 私 これ 我々 に 配 られた 方 を持って います
基本的には 仮定 そうした ら とか もし れば とかいう たら れば とか 仮定 の質問 とかいう もの に対して お答え するのは い たしか ね るということ は 基本 だと思っております が 今のような ことが あってはならない ことだ とは 思っております , あってはならない こと ですね
お答えを申し上げます , 骨 格 で 二十六年 の 分 は 全部 抜 か そう と 誰が 判断 した んですか
お答えを申し上げます , これ ね よく 見ると 二十六年 って ほとんど 理財局 と 森友学園 と の やり取り なんです
今 ほど おっしゃられた のは 近畿財務局 と 森友学園 と の やり取り ということでございますが やり取り を ある意味 で している 間 はある 意味で 行った り 来た り していて 物 が 進んで いないということ です , 別に あなた 方が 解釈 して 国会に提出 する 必要 は全く ない んです
委員御指摘の 資料 は 法律 相談 文書 の中の 一部 でございますが 法律 相談 文書 については 基本的に 情報公開 請求 があって その 情報公開 請求 の 過程 において 私どもが 気 付いて それで 最終的に 国会に お出し ができた というもの でございます , 国会の 何 理事会 の 請求 に対して 気 付 か なかった の
お答えを申し上げます , 関連 文書 出て いません よ
お答えを申し上げます , まあ 全く 納得 できない んですが 実は 二十六年 の 四月 の 二十八日 から ここ 出てきている んです いろんな 交渉 が
それは 答弁 している とおりであります , 実は 籠 池 被 告 も 安倍総理 に 会 った ことはない と インタビュー で 答えて います
私は 存 じ 上げ ません から その テ ー プ というのを 答え よう が ございません , 後で 御 覧 いただければと思います が 明確に 前 々 から 塚 本 園 長 から お 手 紙 をいただいた り 実際に も お会い していただいた り して いました けど と 言われている んですが じゃ 安倍 昭 恵 夫 人は 子供たち の 前 で まあ 若干 事実 と 異なる ことを 言われて しまった ということですか
それで それ については それについて はもう 何回も 私が 答え ている とおりでございます , 僕 ね 実は もう こういう の 嫌 なんです この問題
 福 山 哲 郎 君 , 立憲民主党 の 福 山 哲 郎 です
この 資料の 一番 後ろ にあります 米 中 パワー バランス の 東 進 イメージ というのが ありますが 冷 戦 前 は 米 中の 軍事 均衡 点 というのは 朝鮮半島 韓国 であると , 御苦労 さ ま でございます
 防衛 当局 としても 2 プラス 2 において あるいは 電話 会談 等 あるいは 海外 における 防衛大臣 会議 におきまして 日米 双方 が 能力 向上 に取り組む とともに ガイドライン の 実効性 確保 の取組 を進め 日米同盟 の 抑止力 対処 力を 一層 強化 していくこと で 一致 をしております , 外務大臣 も 防衛大臣 も 言えない ことがある のは 分かり ながら 今 かなり 私は ニ ュ アン ス としては 踏み込んで いただいた と思っています
 お考え と そう 違う ところ はない んだろうと思います , これも また 随分 突っ込 んで お話を いただきまして もう 是非 本当に 重ねて 御尽力 を 期待 したいと思います
 北朝鮮 による 核 ・ 弾道ミサイル 開発 が これまで に ない 重大 かつ 差し 迫 った 脅威 となっている 中 朝鮮半島 情勢 をめぐる 今後 の動向 について 様々な 議論 が行われている ことは承知をしております , 全ての 選択肢 アメリカの 全ての 選択肢 を 支持 するということ について 言えば 私は 河野 外務大臣 とは 若干 そこまで 言って いいのか な という 懸念 は ありますが 紛争 が 起こらない ように 最 善 を 尽く す ということは 同じ 考え だと思いますので 本当に 重ねて よろしくお願いしたいと思います
お答えをいたします , 実は 生 存 者の 数が 異常 に 増えている んですね
お答えいたします , 私は 海上保安庁 が 例えば 何か 任務 を おか し な 任務 をしている んじゃないか ということを 全く 申し上げたい わけではありません
 現時点で 北朝鮮 に対して 抗議 すべき 事案 であると は 認識を しておりません , 防衛大臣 どうですか
 防衛省 ・ 自衛隊 でありますが 一般的に 申し上げれば 国内の 治安 維持 については 警察 機関 が 一 義 的な 対応 の 責任を 有 しており 自衛隊 は 一般の 警察 力 をもって は 治安 を維持する ことができない 緊急事態 が発生した場合 等 には 治安 出動 等の 発 令 を受け 警察 機関 と 緊 密 に 連携して 対処 する こととしております , 由 利 本 荘 の 事案 では 実は 漂 着 した 木 造 船 は 結局 どこか へ 流れ て い き 捜査 できなかった んですよね
委員 おっしゃる ことは よく理解 が できます , 終わります
ありがとうございます , 福 山 でございます
 私どもは す べ から く 外交 努力 を通じて 平和 を守る こと これが 重要 だと思っています , もう一点 は やはり 核 の問題 です
これは 外務省 の 所管 かもしれませんが 私ども この 北朝鮮 の問題は 拉致 核 ミサイル の 解決 ということが 基本 だ というふうに承知をしております , 緊張 感 ある 任務 続く と思いますが よろしくお願いします
ありがとうございます , 民進党 の 福 山 でございます
 御 激 励 ありがとうございます , これは お答え にくい のは 承知 の 上で お伺いします が 相手 の 反応 は どんな 反応 でした
 極めて 短 時間 の やり取り でございました というところ だけ 申し上げて 相手 側の やり取り の中身 については 控え させていただきたいと思います , 小野寺 防衛大臣 にお伺いします
 委員が御指摘 されました 七月 二十八日 の 北朝鮮 による 弾道ミサイル 発射 について 防衛省 において の 初 動 対応 につきましては 同 日 二十三 時 四十 二 分 北朝鮮 内 陸 部 より 弾道ミサイル が 北 東 に 発射 された 模 様 この 後 委員 御存じのとおり 累次 の対応 をさせていただいて 私どもとしては 関係 幹部 会議 を 二 度 開催 するなど しっかりとした 対処 をさせていただいている と思っております , できれば 大臣 もう 役 人の 書いた 答弁は 結構です ので 御自身 の お言葉 で お答えください
これは 私どもも そのような 機会 を 設け たい と思っております が 現在 まで まだ 電話 等の 会談 は 行われて おりません , ということは アメリカ 側に 申 入れ している けど まだ 実現 していない ということだと思います
 委員の御指摘 と 私も 同じ 認識 を持っております , 安全保障 上 は 本当に 歴史 を見ると 小さな 誤解 と 思い 込み から 衝突 が 起こ り 得 ます
 河野 大臣 とともに しっかりとした 対応を 2 プラス 2 で 取って まいりたいと思います し 私 にとっては 二 度 目の 2 プラス 2 ということになります , 小野寺 防衛大臣 におかれましては 就任 直後 の 会見 等 でも 敵 基地 攻撃 について 積極的な 検討 姿勢 を 示 されました
ただいま は 委員会 への 参考人 の 出席 ということで の御 質疑 だと思いますが これは 委員会で お 決め になる ことが 適切 か と思っております , ということ なら 与党 が やっぱり しっかりと 説明 責任を果た す ために 稲田 前 大臣 を出す その 御努力 を 与党 に いただきたいと思います
 出席 しております , ここに 「 破棄 も れ がある
まず この 日 の ことについては 特別 防衛 監察 の中で 私自身も この 調査 に 誠実に 協力 し 聴取 に対して 私の 知っている ことは 真摯に お答え してきている ところです , ちょっと待ってください よ
 私自身は この 日 の ことについて 監察 に対して 真摯に 知っている ことを お答え しております , 何で 差し控え る んですか
速記を起こして ください , 防衛 監察 には 真摯に 答え られる けど 国会 の場で は 答えられない というのは どういうこと ですか 防衛大臣
